Date : 2025-07-28 23:53:08
Directory : d:\FileFolder\Life\Unity\Projects\PVZR\PVZ_Rouge\Assets\Scripts
Total : 101 files,  845 codes, 12 comments, 137 blanks, all 994 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         99 |        834 |         12 |        136 |        982 |
| Markdown |          2 |         11 |          0 |          1 |         12 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                    | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                       |        101 |        845 |         12 |        137 |        994 |
| Classes                                                                                                                                 |         38 |        175 |         -7 |         23 |        191 |
| Classes\ConfigLists                                                                                                                     |          2 |        -12 |          0 |         -1 |        -13 |
| Classes\DataClasses                                                                                                                     |          9 |         73 |          1 |         14 |         88 |
| Classes\DataClasses (Files)                                                                                                             |          1 |          6 |          0 |          1 |          7 |
| Classes\DataClasses\Award                                                                                                               |          1 |         27 |          0 |          4 |         31 |
| Classes\DataClasses\CoinTrade                                                                                                           |          1 |          4 |          0 |          1 |          5 |
| Classes\DataClasses\Game                                                                                                                |          1 |          6 |          0 |          2 |          8 |
| Classes\DataClasses\Level                                                                                                               |          4 |         28 |          1 |          6 |         35 |
| Classes\DataClasses\Loot                                                                                                                |          1 |          2 |          0 |          0 |          2 |
| Classes\DataClasses_InLevel                                                                                                             |          8 |         31 |          0 |          5 |         36 |
| Classes\DataClasses_InLevel\Attack                                                                                                      |          3 |          4 |          0 |          0 |          4 |
| Classes\DataClasses_InLevel\Cell                                                                                                        |          3 |         18 |          0 |          3 |         21 |
| Classes\DataClasses_InLevel\Effect                                                                                                      |          2 |          9 |          0 |          2 |         11 |
| Classes\InfoClasses                                                                                                                     |          2 |          6 |          0 |          0 |          6 |
